(3, 8, 7, 0, 11, 2, 13, 4, 5, 6, 1, 10, 9, 12): [8, 13, 15, 15, 40, 40, 15]
(1, 12, 5, 0, 13, 2, 11, 4, 9, 6, 3, 8, 7, 10): [8, 13, 15, 15, 40, 40, 15]
(1, 4, 7, 0, 11, 2, 9, 10, 3, 6, 13, 8, 5, 12): [8, 12, 15, 15, 41, 41, 16]
(1, 4, 13, 0, 7, 2, 9, 10, 5, 6, 3, 8, 11, 12): [8, 12, 15, 15, 41, 41, 16]
(3, 8, 11, 0, 13, 2, 1, 4, 5, 6, 9, 10, 7, 12): [8, 13, 15, 15, 40, 40, 16]
(1, 12, 11, 0, 7, 2, 13, 4, 9, 6, 5, 8, 3, 10): [8, 13, 15, 15, 40, 40, 16]
(3, 8, 7, 0, 11, 2, 9, 4, 13, 6, 5, 12, 1, 10): [8, 13, 15, 15, 40, 40, 16]
(1, 6, 7, 0, 9, 2, 13, 4, 11, 12, 5, 8, 3, 10): [9, 12, 16, 16, 40, 40, 16]
(3, 4, 7, 0, 11, 2, 1, 10, 5, 6, 13, 8, 9, 12): [9, 13, 16, 16, 40, 40, 16]
(1, 12, 5, 0, 11, 2, 7, 4, 13, 6, 3, 8, 9, 10): [9, 13, 16, 16, 40, 40, 17]
(3, 4, 11, 0, 7, 2, 13, 8, 5, 6, 9, 10, 1, 12): [9, 13, 16, 16, 40, 40, 17]
